article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_slight_nocue,"about $1,000 a month",reduce,"about 100,000","M.B.A., M.D., or J.D.",male,male,approve somewhat,no preference,a lot,no preference,like somewhat,like somewhat,somewhat more satisfied than relieved,KY,1932,no_cue,reduce,small,FALSE,TRUE,78,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,105,Rep
lib_slight_Demopp,"about $2,200 a month",expand,about 1 million,B.A.,female,female,approve strongly,slightly prefer complex problems,a great deal,no preference,like somewhat,like a lot,relief and satisfaction to the same degree,IL,1971,Dem_opp,expand,small,TRUE,FALSE,39,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,179,Dem
lib_large_nocue,"about $1,300 a month",expand,about 1 million,B.A.,male,Male,disapprove somewhat,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like somewhat,slightly more satisfied than relieved,PW,1964,no_cue,expand,large,FALSE,TRUE,46,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,307,Rep
con_large_nocue,about $500 a month,reduce,about 1 million,B.A.,female,female,disapprove strongly,somewhat prefer complex problems,a moderate amount,"somewhat prefer small, daily projects",like a little,like a little,much more satisfied than relieved,DE,1952,no_cue,reduce,large,TRUE,FALSE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,107,Rep
lib_large_Demopp,"about $1,000 a month",expand,"about 500,000",NA,female,f,neither approve nor disapprove,somewhat prefer simple problems,a little,"somewhat prefer small, daily projects",dislike somewhat,dislike a little,somewhat more relieved than satisfied,SC,1970,Dem_opp,expand,large,TRUE,FALSE,40,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,31,Rep
con_large_Demopp,about $500 a month,reduce,"about 100,000","M.B.A., M.D., or J.D.",female,Female,approve slightly,no preference,a lot,"slightly prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,CA,1945,Dem_opp,reduce,large,TRUE,FALSE,65,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,228,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",12th,female,female,disapprove slightly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",dislike a little,like a lot,relief and satisfaction to the same degree,WI,1961,no_cue,reduce,small,TRUE,FALSE,49,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,158,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",8th,female,F,approve somewhat,greatly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",like a little,like a little,much more satisfied than relieved,FL,1972,no_cue,expand,small,TRUE,FALSE,38,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,274,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 500,000",12th,female,female,disapprove slightly,somewhat prefer complex problems,a lot,"slightly prefer big, long-term projects",like a little,like somewhat,somewhat more satisfied than relieved,OR,1962,Dem_opp,reduce,small,TRUE,FALSE,48,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,628,Dem
lib_slight_nocue,"about $1,300 a month",expand,"about 10,000",M.A.,male,male,disapprove strongly,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,much more satisfied than relieved,TN,1947,no_cue,expand,small,FALSE,TRUE,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,161,Rep
lib_slight_Demopp,"about $1,600 a month",expand,about 1 million,M.A.,female,female,approve somewhat,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,much more satisfied than relieved,FL,1950,Dem_opp,expand,small,TRUE,FALSE,60,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,196,Rep
con_slight_nocue,"about $1,000 a month",neither,"about 100,000",B.A.,female,female,disapprove somewhat,no preference,a moderate amount,no preference,dislike somewhat,neither like nor dislike,relief and satisfaction to the same degree,MO,1960,no_cue,reduce,small,TRUE,FALSE,50,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,213,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",B.A.,female,female,approve slightly,somewhat prefer simple problems,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,dislike a little,relief and satisfaction to the same degree,AL,1986,Dem_opp,reduce,small,TRUE,FALSE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,631,Rep
lib_slight_nocue,"about $1,600 a month",neither,"about 50,000",some college,female,female,neither approve nor disapprove,no preference,a moderate amount,"slightly prefer small, daily projects",dislike a little,dislike a little,somewhat more relieved than satisfied,NC,1987,no_cue,expand,small,TRUE,FALSE,23,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,206,Rep
con_slight_Demopp,about $500 a month,expand,"about 500,000",12th,female,female,neither approve nor disapprove,no preference,a little,"somewhat prefer small, daily projects",dislike a little,dislike a little,somewhat more relieved than satisfied,OH,1981,Dem_opp,reduce,small,TRUE,FALSE,29,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,124,Dem
con_large_nocue,NA,neither,NA,M.A.,female,female,approve somewhat,no preference,a moderate amount,"slightly prefer big, long-term projects",dislike a little,like somewhat,slightly more satisfied than relieved,NY,1974,no_cue,reduce,large,TRUE,FALSE,36,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,194,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 100,000",12th,male,male,disapprove slightly,no preference,a lot,"slightly prefer small, daily projects",dislike a little,like a little,slightly more satisfied than relieved,FL,1946,no_cue,expand,small,FALSE,TRUE,64,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,210,Rep
con_large_nocue,"about $1,300 a month",expand,"about 100,000",12th,female,female,neither approve nor disapprove,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,TX,1881,no_cue,reduce,large,TRUE,FALSE,129,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,South,31,Rep
lib_slight_Demopp,"about $1,600 a month",expand,about 1 million,"M.B.A., M.D., or J.D.",female,female,neither approve nor disapprove,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,like somewhat,somewhat more satisfied than relieved,OK,1953,Dem_opp,expand,small,TRUE,FALSE,57,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,120,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 10,000",B.A.,female,Female,disapprove strongly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",like somewhat,like a lot,somewhat more satisfied than relieved,OR,1954,Dem_opp,reduce,small,TRUE,FALSE,56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,239,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",B.A.,male,M,disapprove somewhat,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",like a little,like a little,slightly more satisfied than relieved,TX,1968,Dem_opp,reduce,small,FALSE,TRUE,42,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,180,Dem
con_slight_nocue,"about $1,300 a month",neither,"about 100,000",B.A.,male,male,approve slightly,slightly prefer simple problems,a lot,"slightly prefer big, long-term projects",neither like nor dislike,neither like nor dislike,slightly more satisfied than relieved,FL,1928,no_cue,reduce,small,FALSE,TRUE,82,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,263,Rep
con_slight_nocue,"about $1,300 a month",neither,about 1 million,B.A.,female,female,approve somewhat,somewhat prefer simple problems,a little,no preference,dislike somewhat,dislike somewhat,somewhat more relieved than satisfied,NC,1936,no_cue,reduce,small,TRUE,FALSE,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,244,Dem
con_slight_nocue,"about $1,600 a month",reduce,"about 10,000",12th,female,female,disapprove slightly,no preference,a moderate amount,"somewhat prefer small, daily projects",dislike a little,neither like nor dislike,somewhat more satisfied than relieved,TX,4960,no_cue,reduce,small,TRUE,FALSE,-2950,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,South,40,Rep
con_large_nocue,"about $1,300 a month",neither,"about 100,000",12th,female,female,neither approve nor disapprove,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,neither like nor dislike,somewhat more satisfied than relieved,WI,1954,no_cue,reduce,large,TRUE,FALSE,56,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,142,Rep
con_slight_nocue,"about $1,000 a month",neither,"about 100,000","M.B.A., M.D., or J.D.",female,female,approve somewhat,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,IN,1975,no_cue,reduce,small,TRUE,FALSE,35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,179,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 100,000",M.A.,male,male,disapprove slightly,slightly prefer simple problems,a lot,"somewhat prefer small, daily projects",like a little,like a little,somewhat more satisfied than relieved,VA,1942,Dem_opp,expand,small,FALSE,TRUE,68,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,108,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",B.A.,female,Female,disapprove strongly,no preference,a moderate amount,no preference,dislike a lot,neither like nor dislike,relief and satisfaction to the same degree,MA,1969,Dem_opp,reduce,small,TRUE,FALSE,41,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,209,Dem
con_slight_Demopp,"about $1,300 a month",neither,about 1 million,B.A.,male,Male,approve slightly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a lot,like a lot,somewhat more satisfied than relieved,AL,1987,Dem_opp,reduce,small,FALSE,TRUE,23,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,211,Rep
con_large_Demopp,"about $1,300 a month",reduce,"about 10,000",B.A.,female,female,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",like somewhat,like somewhat,relief and satisfaction to the same degree,TX,1952,Dem_opp,reduce,large,TRUE,FALSE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,471,Rep
lib_slight_Demopp,"about $1,600 a month",expand,"about 500,000",some college,female,female,neither approve nor disapprove,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike a lot,dislike a lot,much more satisfied than relieved,TX,1960,Dem_opp,expand,small,TRUE,FALSE,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,115,Rep
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,some college,female,Female,approve slightly,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a little,neither like nor dislike,slightly more satisfied than relieved,OH,1979,no_cue,reduce,small,TRUE,FALSE,31,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,143,Rep
con_large_Demopp,"about $1,300 a month",reduce,"about 10,000",some college,female,woman,disapprove strongly,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",dislike somewhat,like a little,slightly more satisfied than relieved,TX,1944,Dem_opp,reduce,large,TRUE,FALSE,66,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,167,Rep
con_large_Demopp,"about $1,300 a month",reduce,"about 100,000",B.A.,male,male,approve somewhat,no preference,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,like somewhat,somewhat more relieved than satisfied,TX,1971,Dem_opp,reduce,large,FALSE,TRUE,39,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,282,Rep
con_large_nocue,about $500 a month,reduce,"about 100,000",some college,female,female,disapprove somewhat,no preference,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,CO,1969,no_cue,reduce,large,TRUE,FALSE,41,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,106,Rep
con_slight_nocue,"about $1,000 a month",reduce,about 1 million,M.A.,female,female,approve somewhat,no preference,a lot,no preference,like somewhat,like somewhat,slightly more satisfied than relieved,IL,1973,no_cue,reduce,small,TRUE,FALSE,37,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,172,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 500,000",12th,female,female,neither approve nor disapprove,no preference,a little,no preference,neither like nor dislike,neither like nor dislike,slightly more relieved than satisfied,AL,1968,Dem_opp,expand,small,TRUE,FALSE,42,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,211,Dem
con_slight_Demopp,"about $1,300 a month",reduce,"about 500,000",some college,female,female,approve strongly,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike somewhat,like somewhat,relief and satisfaction to the same degree,AZ,1941,Dem_opp,reduce,small,TRUE,FALSE,69,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,243,Rep
lib_slight_nocue,"about $2,200 a month",neither,"about 100,000",some college,female,female,approve slightly,no preference,a lot,no preference,dislike a little,like a little,relief and satisfaction to the same degree,TN,1936,no_cue,expand,small,TRUE,FALSE,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,214,Rep
lib_slight_Demopp,"about $1,600 a month",neither,"about 50,000",12th,female,female,neither approve nor disapprove,slightly prefer complex problems,a moderate amount,no preference,dislike a little,dislike a little,much more satisfied than relieved,FL,1970,Dem_opp,expand,small,TRUE,FALSE,40,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,348,Rep
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",12th,male,Male,disapprove strongly,no preference,a lot,"somewhat prefer small, daily projects",neither like nor dislike,like somewhat,relief and satisfaction to the same degree,DE,1938,Dem_opp,expand,large,FALSE,TRUE,72,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,342,Rep
lib_slight_nocue,"about $1,300 a month",expand,"about 50,000",B.A.,female,Female,approve somewhat,somewhat prefer complex problems,a lot,"slightly prefer small, daily projects",like somewhat,like somewhat,somewhat more satisfied than relieved,MA,1986,no_cue,expand,small,TRUE,FALSE,24,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,299,Dem
con_large_nocue,about $500 a month,reduce,about 1 million,NA,female,Female,neither approve nor disapprove,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,dislike a little,relief and satisfaction to the same degree,OH,1969,no_cue,reduce,large,TRUE,FALSE,41,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,488,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 100,000",Ph.D.,female,F,neither approve nor disapprove,somewhat prefer complex problems,a lot,"slightly prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,TX,1977,Dem_opp,expand,small,TRUE,FALSE,33,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,17,Rep
con_slight_nocue,"about $1,000 a month",neither,"about 10,000",12th,female,Female,disapprove somewhat,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",like somewhat,like a little,somewhat more relieved than satisfied,OH,1969,no_cue,reduce,small,TRUE,FALSE,41,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,216,Dem
con_slight_Demopp,"about $1,300 a month",expand,"about 100,000",NA,female,female,disapprove slightly,no preference,a lot,"slightly prefer small, daily projects",like a little,like a little,somewhat more satisfied than relieved,IN,1944,Dem_opp,reduce,small,TRUE,FALSE,66,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,176,Rep
con_slight_Demopp,"about $1,300 a month",neither,about 1 million,B.A.,female,female,disapprove slightly,somewhat prefer simple problems,a little,"somewhat prefer small, daily projects",dislike a lot,dislike somewhat,slightly more relieved than satisfied,WI,1951,Dem_opp,reduce,small,TRUE,FALSE,59,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,287,Rep
lib_slight_Demopp,"about $1,600 a month",expand,"about 50,000",B.A.,female,female,neither approve nor disapprove,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,neither like nor dislike,somewhat more satisfied than relieved,AL,1972,Dem_opp,expand,small,TRUE,FALSE,38,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,253,Rep
con_slight_nocue,"about $1,300 a month",neither,about 1 million,B.A.,female,female,neither approve nor disapprove,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,dislike a little,somewhat more satisfied than relieved,CA,1964,no_cue,reduce,small,TRUE,FALSE,46,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,145,Rep
lib_large_Demopp,"about $1,600 a month",expand,"about 100,000",12th,male,male,approve somewhat,slightly prefer simple problems,a moderate amount,"slightly prefer big, long-term projects",dislike somewhat,like a little,slightly more satisfied than relieved,TX,1938,Dem_opp,expand,large,FALSE,TRUE,72,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,99,Rep
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,B.A.,male,male,disapprove somewhat,somewhat prefer complex problems,a lot,"somewhat prefer small, daily projects",like somewhat,like somewhat,much more satisfied than relieved,ID,1946,no_cue,expand,small,FALSE,TRUE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,212,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 500,000",M.A.,female,female,approve somewhat,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike a little,like somewhat,slightly more satisfied than relieved,MI,1954,no_cue,reduce,small,TRUE,FALSE,56,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,147,Rep
con_slight_Demopp,"about $1,000 a month",neither,"about 100,000",NA,male,male,disapprove somewhat,slightly prefer simple problems,a lot,"somewhat prefer small, daily projects",like somewhat,like a lot,somewhat more satisfied than relieved,CA,1947,Dem_opp,reduce,small,FALSE,TRUE,63,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,130,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 10,000",12th,female,Female,approve slightly,no preference,a moderate amount,"slightly prefer small, daily projects",like a little,like somewhat,relief and satisfaction to the same degree,NC,1958,no_cue,reduce,small,TRUE,FALSE,52,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,342,Rep
lib_large_Demopp,about $500 a month,expand,"about 500,000",Ph.D.,male,Male,disapprove slightly,greatly prefer complex problems,a great deal,"greatly prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,MS,1935,Dem_opp,expand,large,FALSE,TRUE,75,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,221,Rep
con_large_nocue,"about $1,600 a month",expand,"about 100,000",NA,female,female,disapprove somewhat,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",like a little,like somewhat,slightly more satisfied than relieved,MT,1976,no_cue,reduce,large,TRUE,FALSE,34,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,54,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 100,000",some college,female,female,approve somewhat,no preference,a lot,"somewhat prefer big, long-term projects",like a little,like somewhat,slightly more relieved than satisfied,OK,1939,no_cue,reduce,small,TRUE,FALSE,71,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,183,Rep
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",M.A.,female,female,disapprove somewhat,slightly prefer simple problems,a moderate amount,no preference,dislike somewhat,dislike a little,somewhat more relieved than satisfied,NE,1980,Dem_opp,expand,large,TRUE,FALSE,30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,192,Rep
con_slight_nocue,about $500 a month,reduce,"about 100,000",NA,female,female,disapprove strongly,no preference,a moderate amount,no preference,like somewhat,neither like nor dislike,relief and satisfaction to the same degree,CA,1967,no_cue,reduce,small,TRUE,FALSE,43,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,23,Rep
lib_slight_nocue,"about $1,000 a month",neither,"about 100,000",12th,female,female,neither approve nor disapprove,slightly prefer simple problems,a little,"somewhat prefer small, daily projects",dislike a lot,dislike a lot,slightly more relieved than satisfied,NC,1952,no_cue,expand,small,TRUE,FALSE,58,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,90,Rep
con_large_nocue,about $500 a month,expand,"about 100,000",B.A.,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,neither like nor dislike,relief and satisfaction to the same degree,PA,1986,no_cue,reduce,large,TRUE,FALSE,24,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,585,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",12th,male,Male,disapprove somewhat,no preference,a little,no preference,dislike a little,like a little,relief and satisfaction to the same degree,MI,1948,no_cue,reduce,small,FALSE,TRUE,62,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,381,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 10,000",B.A.,male,Male,disapprove strongly,somewhat prefer complex problems,a lot,"slightly prefer small, daily projects",neither like nor dislike,like somewhat,somewhat more satisfied than relieved,TX,1938,Dem_opp,reduce,small,FALSE,TRUE,72,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,201,Dem
lib_slight_nocue,"about $1,600 a month",expand,NA,12th,female,female,disapprove somewhat,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like somewhat,slightly more satisfied than relieved,NC,1956,no_cue,expand,small,TRUE,FALSE,54,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,209,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000","M.B.A., M.D., or J.D.",male,male,approve strongly,greatly prefer complex problems,a great deal,"slightly prefer small, daily projects",like a lot,like a lot,much more satisfied than relieved,OH,1951,no_cue,expand,small,FALSE,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,137,Rep
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,some college,female,Female,approve strongly,slightly prefer complex problems,a great deal,no preference,like a little,like a little,somewhat more satisfied than relieved,AL,1938,no_cue,reduce,small,TRUE,FALSE,72,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,452,Rep
con_slight_Demopp,"about $1,300 a month",reduce,about 1 million,some college,female,female,approve strongly,slightly prefer complex problems,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,much more relieved than satisfied,NY,1950,Dem_opp,reduce,small,TRUE,FALSE,60,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,114,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 50,000",B.A.,female,F,disapprove slightly,no preference,a moderate amount,no preference,dislike somewhat,like a little,somewhat more relieved than satisfied,OH,1963,Dem_opp,expand,small,TRUE,FALSE,47,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,87,Rep
lib_large_nocue,"about $2,200 a month",expand,about 1 million,some college,male,male,disapprove somewhat,greatly prefer simple problems,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,PA,1945,no_cue,expand,large,FALSE,TRUE,65,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,72,Rep
con_slight_nocue,"about $1,000 a month",neither,"about 100,000",some college,female,female,disapprove somewhat,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike a little,like a little,somewhat more satisfied than relieved,FL,1953,no_cue,reduce,small,TRUE,FALSE,57,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,140,Rep
lib_large_Demopp,"about $1,600 a month",reduce,"about 500,000",B.A.,male,male,approve somewhat,greatly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",like somewhat,like a little,much more satisfied than relieved,SC,1967,Dem_opp,expand,large,FALSE,TRUE,43,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,19,Dem
con_slight_Demopp,"about $1,300 a month",neither,"about 100,000",some college,female,female,disapprove strongly,slightly prefer simple problems,a moderate amount,no preference,dislike a little,like somewhat,relief and satisfaction to the same degree,OR,1948,Dem_opp,reduce,small,TRUE,FALSE,62,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,268,Rep
lib_slight_Demopp,"about $2,200 a month",neither,about 1 million,B.A.,male,male,approve slightly,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,like a little,slightly more satisfied than relieved,NY,1940,Dem_opp,expand,small,FALSE,TRUE,70,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,168,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",some college,female,female,disapprove slightly,somewhat prefer complex problems,a moderate amount,"greatly prefer big, long-term projects",dislike somewhat,dislike somewhat,much more satisfied than relieved,FL,1948,no_cue,reduce,small,TRUE,FALSE,62,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,252,Rep
con_slight_Demopp,"about $1,600 a month",neither,"about 500,000",NA,female,female,neither approve nor disapprove,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,MI,1945,Dem_opp,reduce,small,TRUE,FALSE,65,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,65,Rep
lib_slight_nocue,"about $2,200 a month",neither,about 1 million,M.A.,female,Female,approve slightly,somewhat prefer simple problems,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,dislike a little,slightly more relieved than satisfied,NY,1966,no_cue,expand,small,TRUE,FALSE,44,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,231,Dem
con_slight_nocue,"about $1,300 a month",neither,"about 500,000",B.A.,female,female,neither approve nor disapprove,somewhat prefer complex problems,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,NC,1928,no_cue,reduce,small,TRUE,FALSE,82,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,247,Dem
lib_slight_nocue,"about $1,300 a month",expand,"about 100,000","M.B.A., M.D., or J.D.",female,female,approve slightly,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a little,like somewhat,somewhat more satisfied than relieved,NJ,1964,no_cue,expand,small,TRUE,FALSE,46,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,152,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",12th,female,female,approve strongly,greatly prefer simple problems,a lot,"slightly prefer small, daily projects",like a lot,dislike somewhat,relief and satisfaction to the same degree,CA,1977,no_cue,expand,small,TRUE,FALSE,33,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,62,Dem
lib_large_Demopp,"about $2,200 a month",expand,"about 100,000",M.A.,female,female,approve somewhat,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,slightly more relieved than satisfied,OH,1944,Dem_opp,expand,large,TRUE,FALSE,66,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,439,Rep
con_large_nocue,"about $1,300 a month",reduce,"about 50,000",12th,male,male,approve slightly,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",neither like nor dislike,like a little,somewhat more satisfied than relieved,HI,1965,no_cue,reduce,large,FALSE,TRUE,45,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,251,Rep
con_large_Demopp,"about $1,000 a month",reduce,"about 100,000",NA,female,female,approve somewhat,no preference,a moderate amount,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,much more satisfied than relieved,OH,1963,Dem_opp,reduce,large,TRUE,FALSE,47,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,103,Dem
