article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_large_nocue,"about $1,300 a month",reduce,about 1 million,B.A.,male,Male,neither approve nor disapprove,no preference,a little,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,CA,1949,no_cue,reduce,large,FALSE,TRUE,61,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,33,Rep
lib_large_Demopp,"about $1,000 a month",neither,"about 10,000",some college,female,female,approve slightly,greatly prefer simple problems,a lot,"somewhat prefer small, daily projects",like somewhat,like somewhat,somewhat more satisfied than relieved,VA,1977,Dem_opp,expand,large,TRUE,FALSE,33,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,66,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 100,000",B.A.,female,Female,disapprove strongly,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,much more relieved than satisfied,PA,1980,no_cue,reduce,small,TRUE,FALSE,30,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,156,Rep
con_large_nocue,about $500 a month,neither,about 1 million,NA,female,female,approve somewhat,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",neither like nor dislike,like a lot,much more satisfied than relieved,NV,1945,no_cue,reduce,large,TRUE,FALSE,65,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,361,Rep
lib_slight_Demopp,"about $2,200 a month",neither,"about 100,000",some college,female,female,disapprove slightly,no preference,a great deal,"slightly prefer small, daily projects",like a little,like somewhat,much more satisfied than relieved,AZ,1974,Dem_opp,expand,small,TRUE,FALSE,36,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,84,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000","M.B.A., M.D., or J.D.",female,Female,approve somewhat,slightly prefer simple problems,a lot,"greatly prefer small, daily projects",dislike somewhat,dislike a little,slightly more relieved than satisfied,FL,1947,no_cue,reduce,small,TRUE,FALSE,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,155,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 500,000",12th,female,female,disapprove strongly,no preference,a moderate amount,no preference,dislike a little,dislike somewhat,somewhat more satisfied than relieved,AR,1958,no_cue,reduce,small,TRUE,FALSE,52,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,200,Rep
lib_slight_nocue,"about $2,200 a month",expand,"about 10,000",some college,male,male,approve strongly,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,TX,1975,no_cue,expand,small,FALSE,TRUE,35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,228,Rep
lib_large_Demopp,"about $2,200 a month",expand,"about 500,000",some college,female,female,approve somewhat,somewhat prefer simple problems,a lot,"somewhat prefer small, daily projects",dislike a little,like a little,relief and satisfaction to the same degree,CA,1985,Dem_opp,expand,large,TRUE,FALSE,25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,391,Rep
con_slight_nocue,"about $1,300 a month",neither,about 1 million,some college,female,Female,disapprove somewhat,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,CA,1960,no_cue,reduce,small,TRUE,FALSE,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,157,Rep
lib_slight_nocue,"about $1,600 a month",neither,about 1 million,B.A.,male,male,approve slightly,slightly prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike a lot,dislike a little,somewhat more satisfied than relieved,CA,1969,no_cue,expand,small,FALSE,TRUE,41,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,17,Dem
lib_large_nocue,"about $2,200 a month",expand,about 1 million,B.A.,female,female,disapprove slightly,slightly prefer complex problems,none,"somewhat prefer small, daily projects",dislike a little,like a little,slightly more satisfied than relieved,CA,1945,no_cue,expand,large,TRUE,FALSE,65,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,339,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 500,000",some college,female,female,disapprove slightly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,NV,1956,Dem_opp,expand,small,TRUE,FALSE,54,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,161,Rep
lib_slight_nocue,"about $1,300 a month",expand,"about 50,000",some college,male,male,approve somewhat,no preference,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,like a little,relief and satisfaction to the same degree,CA,1962,no_cue,expand,small,FALSE,TRUE,48,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,1284,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 10,000",B.A.,female,female,disapprove slightly,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,slightly more relieved than satisfied,ID,1965,no_cue,expand,small,TRUE,FALSE,45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,81,Rep
con_slight_nocue,"about $1,000 a month",reduce,"about 10,000",B.A.,female,female,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,relief and satisfaction to the same degree,CA,1955,no_cue,reduce,small,TRUE,FALSE,55,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,87,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 100,000",some college,male,male,disapprove slightly,slightly prefer complex problems,a moderate amount,"somewhat prefer big, long-term projects",dislike a little,like somewhat,somewhat more satisfied than relieved,CA,1947,Dem_opp,expand,small,FALSE,TRUE,63,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,1354,Rep
