article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,gk.Cheney,gk.Cheney.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,Demsupp,Demopp,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,PID.pre
con_nocue,"about $2,000 a month",reduce,"about 100,000",B.A.,male,male,TRUE,vice president,disapprove somewhat,slightly prefer complex proble,a moderate amount,"somewhat prefer small, daily p",neither like nor dislike,neither like nor dislike,slightly more satisfied than r,AZ,1952,nocue,FALSE,FALSE,FALSE,TRUE,56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demopp,"about $1,500 a month",expand,"about 10,000",M.A.,female,female,FALSE,NA,approve somewhat,slightly prefer complex proble,a lot,NA,neither like nor dislike,like a lot,somewhat more satisfied than r,IN,1957,Demopp,FALSE,TRUE,TRUE,FALSE,51,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demopp,"about $1,500 a month",expand,"about 100,000",some college,male,male,FALSE,not sure,approve somewhat,slightly prefer simple problem,a moderate amount,"slightly prefer big, long-term",neither like nor dislike,like a little,slightly more satisfied than r,NY,1975,Demopp,FALSE,TRUE,FALSE,TRUE,33,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $1,500 a month",expand,about 1 million,Associate's Degree,male,MALE,TRUE,VP,approve strongly,no preference,a great deal,no preference,like a lot,like a lot,much more satisfied than relie,VA,1976,Demopp,FALSE,TRUE,FALSE,TRUE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,neither,"about 100,000",Associate's Degree,female,female,TRUE,Vice president,approve slightly,somewhat prefer simple problem,a great deal,no preference,dislike somewhat,like a lot,much more satisfied than relie,GA,1976,Demsupp,TRUE,FALSE,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,about $500 a month,reduce,about 1 million,some college,female,female,TRUE,Vice President,disapprove strongly,slightly prefer simple problem,a great deal,"somewhat prefer small, daily p",like a lot,like a lot,somewhat more relieved than sa,IN,1971,nocue,FALSE,FALSE,TRUE,FALSE,37,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demsupp,"about $2,500 a month",neither,about 1 million,B.A.,male,male,TRUE,vp,approve somewhat,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like somewhat,like a lot,slightly more satisfied than r,WA,1946,Demsupp,TRUE,FALSE,FALSE,TRUE,62,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,reduce,"about 100,000",Associate's Degree,female,female,TRUE,vice-president,disapprove strongly,greatly prefer simple problems,a moderate amount,no preference,dislike a lot,dislike a lot,relief and satisfaction to the,NY,1953,nocue,FALSE,FALSE,TRUE,FALSE,55,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demsupp,about $500 a month,reduce,"about 500,000",some college,male,male,TRUE,vp,disapprove strongly,somewhat prefer simple problem,a lot,"somewhat prefer small, daily p",dislike a little,neither like nor dislike,somewhat more relieved than sa,NC,1949,Demsupp,TRUE,FALSE,FALSE,TRUE,59,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $2,000 a month",reduce,"about 100,000",some college,male,male,TRUE,vice president,neither approve nor disapprove,slightly prefer simple problem,a moderate amount,"slightly prefer small, daily p",dislike somewhat,dislike somewhat,somewhat more relieved than sa,NC,1965,Demopp,FALSE,TRUE,FALSE,TRUE,43,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demopp,"about $1,500 a month",expand,"about 100,000",B.A.,male,Male,TRUE,Vice President,approve slightly,greatly prefer complex problem,a great deal,NA,like a lot,like a lot,much more satisfied than relie,NY,1980,Demopp,FALSE,TRUE,FALSE,TRUE,28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_nocue,"about $2,500 a month",neither,about 1 million,Associate's Degree,male,male,TRUE,vice president,approve strongly,greatly prefer complex problem,a great deal,NA,like a lot,like a lot,much more satisfied than relie,UT,1941,nocue,FALSE,FALSE,FALSE,TRUE,67,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $1,500 a month",expand,about 1 million,some college,male,male,TRUE,vp,approve somewhat,slightly prefer simple problem,a moderate amount,"greatly prefer small, daily pr",dislike a little,dislike a little,slightly more relieved than sa,FL,1973,Demsupp,TRUE,FALSE,FALSE,TRUE,35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,NA,expand,NA,some college,female,female,TRUE,vp,approve somewhat,somewhat prefer complex proble,a lot,"slightly prefer small, daily p",neither like nor dislike,like somewhat,slightly more satisfied than r,HI,1981,Demopp,FALSE,TRUE,TRUE,FALSE,27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $1,500 a month",expand,"about 50,000",B.A.,female,female,TRUE,vp,approve somewhat,greatly prefer complex problem,a lot,"somewhat prefer small, daily p",like somewhat,like a little,somewhat more satisfied than r,OH,1964,Demsupp,TRUE,FALSE,TRUE,FALSE,44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demsupp,"about $2,500 a month",expand,about 1 million,B.A.,female,Female,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a great deal,"slightly prefer small, daily p",like somewhat,like somewhat,relief and satisfaction to the,MO,1978,Demsupp,TRUE,FALSE,TRUE,FALSE,30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demsupp,"about $1,500 a month",reduce,"about 500,000",some college,male,Male,TRUE,Vice President,disapprove strongly,no preference,none,no preference,dislike a lot,dislike somewhat,relief and satisfaction to the,FL,1943,Demsupp,TRUE,FALSE,FALSE,TRUE,65,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,"about $1,500 a month",reduce,about 1 million,12th,female,female,FALSE,republican,disapprove slightly,greatly prefer simple problems,a little,"greatly prefer small, daily pr",dislike a lot,dislike a little,much more relieved than satisf,OR,1958,nocue,FALSE,FALSE,TRUE,FALSE,50,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demsupp,about $500 a month,reduce,"about 100,000",some college,female,Female,TRUE,VP ,disapprove strongly,somewhat prefer complex proble,a lot,no preference,neither like nor dislike,like somewhat,somewhat more satisfied than r,MS,1950,Demsupp,TRUE,FALSE,TRUE,FALSE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $1,000 a month",expand,"about 50,000",8th,female,female,FALSE,NA,neither approve nor disapprove,somewhat prefer simple problem,a moderate amount,"greatly prefer small, daily pr",dislike somewhat,dislike somewhat,relief and satisfaction to the,KY,1954,nocue,FALSE,FALSE,TRUE,FALSE,54,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,about $500 a month,reduce,"about 500,000",12th,female,female,TRUE,VP,disapprove somewhat,no preference,a moderate amount,no preference,like somewhat,like somewhat,relief and satisfaction to the,WI,1934,nocue,FALSE,FALSE,TRUE,FALSE,74,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,about $500 a month,neither,"about 100,000",M.A.,female,female,TRUE,vice president,approve strongly,somewhat prefer complex proble,a great deal,"somewhat prefer big, long-term",like a lot,like a lot,somewhat more satisfied than r,WI,1967,Demopp,FALSE,TRUE,TRUE,FALSE,41,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $1,000 a month",reduce,about 1 million,B.A.,female,female,TRUE,VP,neither approve nor disapprove,slightly prefer complex proble,a moderate amount,"greatly prefer small, daily pr",neither like nor dislike,dislike a little,slightly more relieved than sa,GA,1976,Demsupp,TRUE,FALSE,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $1,500 a month",expand,"about 50,000",12th,male,Male,FALSE,NA,approve strongly,no preference,a great deal,no preference,like a lot,dislike a little,somewhat more satisfied than r,MA,1932,nocue,FALSE,FALSE,FALSE,TRUE,76,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
lib_Demsupp,"about $1,500 a month",expand,"about 50,000",M.A.,male,M,TRUE,VP,disapprove slightly,no preference,a little,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,CA,1947,Demsupp,TRUE,FALSE,FALSE,TRUE,61,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demopp,about $500 a month,reduce,"about 10,000",some college,female,female,TRUE,vice president,disapprove strongly,no preference,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,VT,1948,Demopp,FALSE,TRUE,TRUE,FALSE,60,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,reduce,"about 100,000",some college,female,Female,TRUE,Vice President,disapprove strongly,no preference,a great deal,no preference,like a little,like somewhat,much more relieved than satisf,WA,1979,Demopp,FALSE,TRUE,TRUE,FALSE,29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demopp,"about $1,500 a month",reduce,about 1 million,12th,female,female,TRUE,vice president,disapprove strongly,somewhat prefer simple problem,a lot,"somewhat prefer small, daily p",dislike a little,neither like nor dislike,somewhat more relieved than sa,NY,1973,Demopp,FALSE,TRUE,TRUE,FALSE,35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demsupp,"about $2,000 a month",expand,"about 100,000",12th,female,Female,TRUE,Vice President,disapprove somewhat,no preference,a moderate amount,no preference,like a little,neither like nor dislike,somewhat more relieved than sa,MI,1987,Demsupp,TRUE,FALSE,TRUE,FALSE,21,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,about $500 a month,reduce,"about 100,000",12th,female,female,TRUE,Vice President,disapprove strongly,greatly prefer simple problems,none,"greatly prefer small, daily pr",dislike a lot,dislike a lot,much more relieved than satisf,TX,1947,Demsupp,TRUE,FALSE,TRUE,FALSE,61,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,reduce,"about 50,000",12th,female,female,TRUE,Vice-President,disapprove strongly,slightly prefer complex proble,a lot,"somewhat prefer small, daily p",dislike a lot,dislike a little,slightly more satisfied than r,WI,1948,Demsupp,TRUE,FALSE,TRUE,FALSE,60,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_nocue,"about $2,000 a month",expand,"about 100,000",Associate's Degree,female,female,FALSE,NA,disapprove slightly,no preference,a lot,"slightly prefer big, long-term",dislike somewhat,like somewhat,relief and satisfaction to the,TN,1986,nocue,FALSE,FALSE,TRUE,FALSE,22,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demsupp,"about $2,500 a month",expand,"about 100,000",12th,female,female,TRUE,Vice President,disapprove strongly,somewhat prefer simple problem,a moderate amount,"somewhat prefer small, daily p",neither like nor dislike,neither like nor dislike,somewhat more relieved than sa,NC,1957,Demsupp,TRUE,FALSE,TRUE,FALSE,51,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $2,500 a month",expand,about 1 million,some college,male,male,TRUE,vice president,disapprove somewhat,slightly prefer simple problem,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,neither like nor dislike,relief and satisfaction to the,AZ,1945,Demopp,FALSE,TRUE,FALSE,TRUE,63,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demsupp,about $500 a month,reduce,"about 100,000",B.A.,female,female,TRUE,Vice President,disapprove somewhat,somewhat prefer complex proble,a lot,"slightly prefer big, long-term",like somewhat,like somewhat,somewhat more satisfied than r,CA,1962,Demsupp,TRUE,FALSE,TRUE,FALSE,46,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demopp,about $500 a month,reduce,"about 100,000",M.A.,male,male,TRUE,Vice President,disapprove strongly,greatly prefer complex problem,a lot,no preference,like a lot,like a lot,much more satisfied than relie,MN,1973,Demopp,FALSE,TRUE,FALSE,TRUE,35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_nocue,"about $1,000 a month",reduce,"about 50,000",some college,male,male,TRUE,vice president,disapprove strongly,somewhat prefer simple problem,a moderate amount,no preference,dislike somewhat,dislike a little,relief and satisfaction to the,NY,1952,nocue,FALSE,FALSE,FALSE,TRUE,56,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demsupp,about $500 a month,reduce,"about 100,000",some college,male,male,TRUE,vice president,disapprove somewhat,somewhat prefer simple problem,a moderate amount,no preference,neither like nor dislike,like a little,slightly more relieved than sa,IL,1936,Demsupp,TRUE,FALSE,FALSE,TRUE,72,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demopp,"about $2,500 a month",expand,"about 100,000",B.A.,female,female,TRUE,vice-president,disapprove strongly,slightly prefer complex proble,a great deal,"somewhat prefer small, daily p",neither like nor dislike,neither like nor dislike,much more relieved than satisf,NY,1927,Demopp,FALSE,TRUE,TRUE,FALSE,81,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $2,000 a month",expand,"about 50,000",B.A.,male,male,TRUE,vice president,approve somewhat,somewhat prefer complex proble,a great deal,"slightly prefer big, long-term",dislike a little,like a lot,much more satisfied than relie,TX,1958,Demopp,FALSE,TRUE,FALSE,TRUE,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,about $500 a month,expand,NA,some college,female,female,TRUE,v.p.,disapprove strongly,somewhat prefer simple problem,a moderate amount,"greatly prefer small, daily pr",dislike a lot,like a little,much more satisfied than relie,OR,1970,Demsupp,TRUE,FALSE,TRUE,FALSE,38,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demsupp,"about $1,500 a month",reduce,"about 100,000",some college,male,male,FALSE,NA,disapprove slightly,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,WA,1973,Demsupp,TRUE,FALSE,FALSE,TRUE,35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_nocue,about $500 a month,reduce,about 1 million,B.A.,male,Male,TRUE,VP,approve slightly,greatly prefer complex problem,a great deal,"somewhat prefer big, long-term",like somewhat,like somewhat,slightly more relieved than sa,TX,1974,nocue,FALSE,FALSE,FALSE,TRUE,34,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demsupp,about $500 a month,reduce,"about 50,000",some college,male,male,TRUE,Vice President,disapprove strongly,no preference,none,no preference,dislike a lot,dislike somewhat,slightly more satisfied than r,OH,1962,Demsupp,TRUE,FALSE,FALSE,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $1,500 a month",reduce,"about 50,000",12th,female,female,TRUE,Vice President,disapprove strongly,slightly prefer complex proble,a lot,"greatly prefer small, daily pr",dislike somewhat,dislike somewhat,slightly more relieved than sa,PA,1954,Demsupp,TRUE,FALSE,TRUE,FALSE,54,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
lib_nocue,"about $1,500 a month",expand,"about 500,000",some college,female,f,FALSE,secretary of state,disapprove slightly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",dislike a lot,like a little,somewhat more relieved than sa,CA,1964,nocue,FALSE,FALSE,TRUE,FALSE,44,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_nocue,about $500 a month,reduce,"about 500,000",Associate's Degree,female,Female,TRUE,Vice-President,disapprove strongly,somewhat prefer complex proble,a great deal,no preference,like a lot,like a little,somewhat more satisfied than r,KS,1972,nocue,FALSE,FALSE,TRUE,FALSE,36,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,about $500 a month,reduce,"about 500,000",12th,female,femail,TRUE,vice  president,disapprove strongly,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily pr",dislike a little,dislike a little,slightly more satisfied than r,PA,1931,Demopp,FALSE,TRUE,TRUE,FALSE,77,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
lib_Demsupp,"about $2,000 a month",expand,"about 10,000",M.A.,female,female,TRUE,vice-President,approve strongly,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like a little,like somewhat,slightly more satisfied than r,CT,1958,Demsupp,TRUE,FALSE,TRUE,FALSE,50,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demsupp,"about $2,000 a month",neither,"about 100,000",M.A.,male,male,TRUE,vice president,disapprove slightly,slightly prefer complex proble,a lot,"greatly prefer small, daily pr",neither like nor dislike,neither like nor dislike,somewhat more satisfied than r,CA,1965,Demsupp,TRUE,FALSE,FALSE,TRUE,43,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_nocue,about $500 a month,expand,about 1 million,M.A.,female,female,TRUE,Vice President,approve slightly,somewhat prefer complex proble,a lot,no preference,like somewhat,like a lot,somewhat more satisfied than r,SC,1952,nocue,FALSE,FALSE,TRUE,FALSE,56,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,500 a month",expand,"about 100,000",some college,female,female,FALSE,sec of defense,approve strongly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like somewhat,like a little,slightly more satisfied than r,PA,1962,nocue,FALSE,FALSE,TRUE,FALSE,46,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $2,000 a month",expand,"about 50,000",some college,male,male,TRUE,vice president,approve somewhat,no preference,a moderate amount,"somewhat prefer small, daily p",dislike somewhat,neither like nor dislike,slightly more relieved than sa,CA,1966,nocue,FALSE,FALSE,FALSE,TRUE,42,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,reduce,"about 100,000",M.A.,female,female,TRUE,vice president,disapprove somewhat,no preference,a moderate amount,"somewhat prefer small, daily p",dislike a little,like a little,somewhat more satisfied than r,AZ,1939,nocue,FALSE,FALSE,TRUE,FALSE,69,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demopp,"about $2,000 a month",expand,about 1 million,Associate's Degree,female,female,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like a little,like somewhat,much more satisfied than relie,CA,1936,Demopp,FALSE,TRUE,TRUE,FALSE,72,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $2,500 a month",expand,"about 100,000",12th,female,female,TRUE,vice president,neither approve nor disapprove,somewhat prefer simple problem,a little,"somewhat prefer small, daily p",dislike a little,dislike a little,much more relieved than satisf,IL,1956,Demsupp,TRUE,FALSE,TRUE,FALSE,52,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $1,500 a month",reduce,about 1 million,B.A.,female,female,TRUE,v.p.,disapprove strongly,greatly prefer complex problem,a great deal,"somewhat prefer big, long-term",neither like nor dislike,like a lot,much more satisfied than relie,CA,1969,Demsupp,TRUE,FALSE,TRUE,FALSE,39,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_nocue,"about $1,500 a month",reduce,"about 100,000",B.A.,male,male,TRUE,vice president,approve strongly,no preference,a lot,"somewhat prefer big, long-term",like a lot,like a lot,much more satisfied than relie,GA,1976,nocue,FALSE,FALSE,FALSE,TRUE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demsupp,about $500 a month,reduce,"about 50,000",12th,female,female,TRUE,vice president,disapprove strongly,slightly prefer simple problem,a moderate amount,no preference,dislike somewhat,neither like nor dislike,relief and satisfaction to the,MO,1951,Demsupp,TRUE,FALSE,TRUE,FALSE,57,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demsupp,"about $1,000 a month",neither,"about 100,000",some college,male,Male,TRUE,Vice President,disapprove somewhat,slightly prefer complex proble,a moderate amount,no preference,neither like nor dislike,like a little,slightly more satisfied than r,CT,1959,Demsupp,TRUE,FALSE,FALSE,TRUE,49,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $2,500 a month",expand,"about 500,000",some college,female,female,TRUE,former vp,approve slightly,somewhat prefer simple problem,a lot,"somewhat prefer big, long-term",dislike a little,like a lot,somewhat more satisfied than r,FL,1969,Demopp,FALSE,TRUE,TRUE,FALSE,39,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demopp,"about $1,500 a month",reduce,about 1 million,Associate's Degree,female,Female,TRUE,VP,disapprove strongly,slightly prefer simple problem,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,dislike a little,somewhat more satisfied than r,AZ,1955,Demopp,FALSE,TRUE,TRUE,FALSE,53,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demopp,"about $1,000 a month",reduce,"about 100,000",some college,female,female,FALSE,can t think of it right now,disapprove strongly,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like a little,like somewhat,relief and satisfaction to the,TX,1953,Demopp,FALSE,TRUE,TRUE,FALSE,55,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $1,500 a month",expand,about 1 million,some college,female,femail,TRUE,vice president,disapprove strongly,no preference,a lot,"somewhat prefer small, daily p",like somewhat,like somewhat,relief and satisfaction to the,TX,1964,nocue,FALSE,FALSE,TRUE,FALSE,44,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $2,500 a month",expand,"about 100,000",12th,male,Male,TRUE,VP,approve strongly,slightly prefer simple problem,a great deal,"slightly prefer small, daily p",dislike a lot,like a little,much more relieved than satisf,SC,1947,Demopp,FALSE,TRUE,FALSE,TRUE,61,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demsupp,"about $1,500 a month",reduce,about 1 million,B.A.,male,male,TRUE,Vice President,disapprove strongly,greatly prefer simple problems,a great deal,"greatly prefer small, daily pr",dislike a lot,dislike a lot,relief and satisfaction to the,OH,1950,Demsupp,TRUE,FALSE,FALSE,TRUE,58,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_nocue,about $500 a month,reduce,"about 100,000","M.B.A., M.D., or J.D.",male,male,TRUE,vice prez,approve somewhat,slightly prefer simple problem,a little,NA,like a lot,like a lot,much more satisfied than relie,NY,1976,nocue,FALSE,FALSE,FALSE,TRUE,32,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,reduce,"about 100,000",Associate's Degree,female,Female,TRUE,Vice President of the United States,approve slightly,greatly prefer complex problem,a great deal,NA,like a lot,like a lot,somewhat more satisfied than r,MS,1974,Demopp,FALSE,TRUE,TRUE,FALSE,34,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_nocue,"about $2,000 a month",reduce,about 1 million,some college,male,male,TRUE,Vice President,neither approve nor disapprove,no preference,a lot,no preference,dislike a little,neither like nor dislike,somewhat more satisfied than r,IL,1938,nocue,FALSE,FALSE,FALSE,TRUE,70,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $2,500 a month",expand,"about 100,000",some college,female,female,FALSE,Secretary of State,disapprove slightly,slightly prefer complex proble,a lot,no preference,dislike somewhat,like a little,relief and satisfaction to the,FL,1982,Demopp,FALSE,TRUE,TRUE,FALSE,26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,"about $1,500 a month",reduce,"about 100,000",B.A.,male,male,TRUE,vice president,disapprove strongly,greatly prefer complex problem,a great deal,no preference,like somewhat,like a lot,much more satisfied than relie,SC,1960,Demsupp,TRUE,FALSE,FALSE,TRUE,48,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demsupp,"about $1,500 a month",neither,"about 50,000",some college,female,female,TRUE,vice president,neither approve nor disapprove,no preference,a moderate amount,"somewhat prefer small, daily p",dislike a little,neither like nor dislike,slightly more relieved than sa,CA,1985,Demsupp,TRUE,FALSE,TRUE,FALSE,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_nocue,"about $2,500 a month",expand,"about 500,000",some college,male,male,TRUE,vp,neither approve nor disapprove,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,OR,1951,nocue,FALSE,FALSE,FALSE,TRUE,57,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_Demopp,"about $2,000 a month",expand,"about 50,000",some college,female,Female,TRUE,vice-president,approve slightly,slightly prefer complex proble,a great deal,"greatly prefer small, daily pr",neither like nor dislike,dislike a lot,much more satisfied than relie,OH,1924,Demopp,FALSE,TRUE,TRUE,FALSE,84,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demopp,about $500 a month,neither,about 1 million,B.A.,male,male,TRUE,Vice-President,disapprove strongly,somewhat prefer complex proble,a lot,no preference,neither like nor dislike,like a lot,much more satisfied than relie,OH,1934,Demopp,FALSE,TRUE,FALSE,TRUE,74,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,about $500 a month,reduce,"about 100,000",M.A.,female,female,TRUE,Vice President,disapprove somewhat,no preference,a lot,no preference,like a little,like a little,somewhat more relieved than sa,TX,1948,Demopp,FALSE,TRUE,TRUE,FALSE,60,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demsupp,"about $1,500 a month",reduce,"about 100,000",Associate's Degree,male,male,TRUE,vice frecken president,disapprove somewhat,somewhat prefer complex proble,a moderate amount,"slightly prefer big, long-term",like somewhat,like somewhat,relief and satisfaction to the,WA,1950,Demsupp,TRUE,FALSE,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,"about $1,000 a month",neither,"about 100,000",Associate's Degree,female,Female,TRUE,Vice President,approve somewhat,somewhat prefer complex proble,a great deal,NA,like a little,like a lot,much more satisfied than relie,CA,1933,nocue,FALSE,FALSE,TRUE,FALSE,75,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demopp,"about $1,000 a month",reduce,about 1 million,some college,male,male,FALSE,HOUSE SPEAKER,neither approve nor disapprove,no preference,a lot,no preference,neither like nor dislike,like a little,somewhat more satisfied than r,CA,1961,Demopp,FALSE,TRUE,FALSE,TRUE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_Demsupp,"about $2,000 a month",reduce,about 1 million,some college,male,male,TRUE,Vice president,neither approve nor disapprove,slightly prefer simple problem,a little,"slightly prefer small, daily p",like somewhat,neither like nor dislike,relief and satisfaction to the,TX,1981,Demsupp,TRUE,FALSE,FALSE,TRUE,27,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
